Quarter,BTO_Supply,YoY,Source,Updated
2019-Q1,3162,,HDB,2026/08/13
2019-Q2,3485,,HDB,2026/08/13
2019-Q3,3373,,HDB,2026/08/13
2019-Q4,4571,,HDB,2026/08/13
2020-Q1,3095,-2.10%,HDB,2026/08/13
2020-Q2,0,-100.00%,HDB,2026/08/13
2020-Q3,7820,131.80%,HDB,2026/08/13
2020-Q4,5795,26.80%,HDB,2026/08/13
2021-Q1,3740,20.80%,HDB,2026/08/13
2021-Q2,3879,—,HDB,2026/08/13
2021-Q3,4989,-36.20%,HDB,2026/08/13
2021-Q4,4501,-22.30%,HDB,2026/08/13
2022-Q1,3953,5.70%,HDB,2026/08/13
2022-Q2,4583,18.20%,HDB,2026/08/13
2022-Q3,4993,0.10%,HDB,2026/08/13
2022-Q4,9655,114.50%,HDB,2026/08/13
2023-Q1,4428,12.00%,HDB,2026/08/13
2023-Q2,5495,19.90%,HDB,2026/08/13
2023-Q3,0,-100.00%,HDB,2026/08/13
2023-Q4,12857,33.20%,HDB,2026/08/13
2024-Q1,4126,-6.80%,HDB,2026/08/13
2024-Q2,6938,26.30%,HDB,2026/08/13
2024-Q3,0,—,HDB,2026/08/13
2024-Q4,8573,-33.30%,HDB,2026/08/13
2025-Q1,5032,22.00%,HDB,2026/08/13
2025-Q2,0,-100.00%,HDB,2026/08/13
2025-Q3,5547,—,HDB,2026/08/13
2025-Q4,9144,6.70%,HDB,2026/08/13
2026-Q1,4692,-6.80%,HDB,2026/08/13
2026-Q2,6952,—,HDB,2026/08/13
2026-Q3,0,-100.00%,HDB,2026/08/13
2026-Q4,,,HDB,2026/08/13
