Quarter,PriceIndex,QoQ,YoY,Source,Updated
2001-Q1,73.2,,,HDB,2026/7/30
2001-Q2,72.1,-1.5%,,HDB,2026/7/30
2001-Q3,70.6,-2.1%,,HDB,2026/7/30
2001-Q4,69.6,-1.4%,,HDB,2026/7/30
2002-Q1,69.1,-0.7%,-5.6%,HDB,2026/7/30
2002-Q2,69.2,0.1%,-4.0%,HDB,2026/7/30
2002-Q3,69.9,1.0%,-1.0%,HDB,2026/7/30
2002-Q4,69.9,0.0%,0.4%,HDB,2026/7/30
2003-Q1,71,1.6%,2.7%,HDB,2026/7/30
2003-Q2,72.5,2.1%,4.8%,HDB,2026/7/30
2003-Q3,74.3,2.5%,6.3%,HDB,2026/7/30
2003-Q4,75.1,1.1%,7.4%,HDB,2026/7/30
2004-Q1,75.3,0.3%,6.1%,HDB,2026/7/30
2004-Q2,76.2,1.2%,5.1%,HDB,2026/7/30
2004-Q3,76.3,0.1%,2.7%,HDB,2026/7/30
2004-Q4,77.1,1.0%,2.7%,HDB,2026/7/30
2005-Q1,77.2,0.1%,2.5%,HDB,2026/7/30
2005-Q2,73.5,-4.8%,-3.5%,HDB,2026/7/30
2005-Q3,73.2,-0.4%,-4.1%,HDB,2026/7/30
2005-Q4,73.5,0.4%,-4.7%,HDB,2026/7/30
2006-Q1,73.6,0.1%,-4.7%,HDB,2026/7/30
2006-Q2,74.3,1.0%,1.1%,HDB,2026/7/30
2006-Q3,74.2,-0.1%,1.4%,HDB,2026/7/30
2006-Q4,74.9,0.9%,1.9%,HDB,2026/7/30
2007-Q1,75.8,1.2%,3.0%,HDB,2026/7/30
2007-Q2,78.1,3.0%,5.1%,HDB,2026/7/30
2007-Q3,83.2,6.5%,12.1%,HDB,2026/7/30
2007-Q4,88,5.8%,17.5%,HDB,2026/7/30
2008-Q1,91.3,3.8%,20.4%,HDB,2026/7/30
2008-Q2,95.4,4.5%,22.2%,HDB,2026/7/30
2008-Q3,99.4,4.2%,19.5%,HDB,2026/7/30
2008-Q4,100.8,1.4%,14.5%,HDB,2026/7/30
2009-Q1,100,-0.8%,9.5%,HDB,2026/7/30
2009-Q2,101.4,1.4%,6.3%,HDB,2026/7/30
2009-Q3,105,3.6%,5.6%,HDB,2026/7/30
2009-Q4,109,3.8%,8.1%,HDB,2026/7/30
2010-Q1,112.1,2.8%,12.1%,HDB,2026/7/30
2010-Q2,116.6,4.0%,15.0%,HDB,2026/7/30
2010-Q3,121.3,4.0%,15.5%,HDB,2026/7/30
2010-Q4,124.4,2.6%,14.1%,HDB,2026/7/30
2011-Q1,126.4,1.6%,12.8%,HDB,2026/7/30
2011-Q2,130.4,3.2%,11.8%,HDB,2026/7/30
2011-Q3,135.4,3.8%,11.6%,HDB,2026/7/30
2011-Q4,137.7,1.7%,10.7%,HDB,2026/7/30
2012-Q1,138.5,0.6%,9.6%,HDB,2026/7/30
2012-Q2,140.3,1.3%,7.6%,HDB,2026/7/30
2012-Q3,143.1,2.0%,5.7%,HDB,2026/7/30
2012-Q4,146.7,2.5%,6.5%,HDB,2026/7/30
2013-Q1,148.6,1.3%,7.3%,HDB,2026/7/30
2013-Q2,149.4,0.5%,6.5%,HDB,2026/7/30
2013-Q3,148.1,-0.9%,3.5%,HDB,2026/7/30
2013-Q4,145.8,-1.6%,-0.6%,HDB,2026/7/30
2014-Q1,143.5,-1.6%,-3.4%,HDB,2026/7/30
2014-Q2,141.5,-1.4%,-5.3%,HDB,2026/7/30
2014-Q3,139.1,-1.7%,-6.1%,HDB,2026/7/30
2014-Q4,137,-1.5%,-6.0%,HDB,2026/7/30
2015-Q1,135.6,-1.0%,-5.5%,HDB,2026/7/30
2015-Q2,135,-0.4%,-4.6%,HDB,2026/7/30
2015-Q3,134.6,-0.3%,-3.2%,HDB,2026/7/30
2015-Q4,134.8,0.1%,-1.6%,HDB,2026/7/30
2016-Q1,134.7,-0.1%,-0.7%,HDB,2026/7/30
2016-Q2,134.7,0.0%,-0.2%,HDB,2026/7/30
2016-Q3,134.7,0.0%,0.1%,HDB,2026/7/30
2016-Q4,134.6,-0.1%,-0.1%,HDB,2026/7/30
2017-Q1,133.9,-0.5%,-0.6%,HDB,2026/7/30
2017-Q2,133.7,-0.1%,-0.7%,HDB,2026/7/30
2017-Q3,132.8,-0.7%,-1.4%,HDB,2026/7/30
2017-Q4,132.6,-0.2%,-1.5%,HDB,2026/7/30
2018-Q1,131.6,-0.8%,-1.7%,HDB,2026/7/30
2018-Q2,131.7,0.1%,-1.5%,HDB,2026/7/30
2018-Q3,131.6,-0.1%,-0.9%,HDB,2026/7/30
2018-Q4,131.4,-0.2%,-0.9%,HDB,2026/7/30
2019-Q1,131,-0.3%,-0.5%,HDB,2026/7/30
2019-Q2,130.8,-0.2%,-0.7%,HDB,2026/7/30
2019-Q3,130.9,0.1%,-0.5%,HDB,2026/7/30
2019-Q4,131.5,0.5%,0.1%,HDB,2026/7/30
2020-Q1,131.5,0.0%,0.4%,HDB,2026/7/30
2020-Q2,131.9,0.3%,0.8%,HDB,2026/7/30
2020-Q3,133.9,1.5%,2.3%,HDB,2026/7/30
2020-Q4,138.1,3.1%,5.0%,HDB,2026/7/30
2021-Q1,142.2,3.0%,8.1%,HDB,2026/7/30
2021-Q2,146.4,3.0%,11.0%,HDB,2026/7/30
2021-Q3,150.6,2.9%,12.5%,HDB,2026/7/30
2021-Q4,155.7,3.4%,12.7%,HDB,2026/7/30
2022-Q1,159.5,2.4%,12.2%,HDB,2026/7/30
2022-Q2,163.9,2.8%,12.0%,HDB,2026/7/30
2022-Q3,168.1,2.6%,11.6%,HDB,2026/7/30
2022-Q4,171.9,2.3%,10.4%,HDB,2026/7/30
2023-Q1,173.6,1.0%,8.8%,HDB,2026/7/30
2023-Q2,176.2,1.5%,7.5%,HDB,2026/7/30
2023-Q3,178.5,1.3%,6.2%,HDB,2026/7/30
2023-Q4,180.4,1.1%,4.9%,HDB,2026/7/30
2024-Q1,183.7,1.8%,5.8%,HDB,2026/7/30
2024-Q2,187.9,2.3%,6.6%,HDB,2026/7/30
2024-Q3,192.9,2.7%,8.1%,HDB,2026/7/30
2024-Q4,197.9,2.6%,9.7%,HDB,2026/7/30
2025-Q1,201,1.6%,9.4%,HDB,2026/7/30
2025-Q2,202.9,0.9%,8.0%,HDB,2026/7/30
2025-Q3,203.7,0.4%,5.6%,HDB,2026/7/30
2025-Q4,203.6,0.0%,2.9%,HDB,2026/7/30
2026-Q1,203.4,-0.1%,1.2%,HDB,2026/7/30
2026-Q2,202.8,-0.3%,0.0%,HDB,2026/7/30
