Quarter,TransactionVolume,QoQ,YoY,Source,Updated
2001-Q1,9061,,,HDB,2026/7/30
2001-Q2,9242,2.0%,,HDB,2026/7/30
2001-Q3,9393,1.6%,,HDB,2026/7/30
2001-Q4,8822,-6.1%,,HDB,2026/7/30
2002-Q1,9527,8.0%,5.1%,HDB,2026/7/30
2002-Q2,9862,3.5%,6.7%,HDB,2026/7/30
2002-Q3,9844,-0.2%,4.8%,HDB,2026/7/30
2002-Q4,9133,-7.2%,3.5%,HDB,2026/7/30
2003-Q1,9434,3.3%,-1.0%,HDB,2026/7/30
2003-Q2,8860,-6.1%,-10.2%,HDB,2026/7/30
2003-Q3,8671,-2.1%,-11.9%,HDB,2026/7/30
2003-Q4,6833,-21.2%,-25.2%,HDB,2026/7/30
2004-Q1,6594,-3.5%,-30.1%,HDB,2026/7/30
2004-Q2,6891,4.5%,-22.2%,HDB,2026/7/30
2004-Q3,8685,26.0%,0.2%,HDB,2026/7/30
2004-Q4,8191,-5.7%,19.9%,HDB,2026/7/30
2005-Q1,6544,-20.1%,-0.8%,HDB,2026/7/30
2005-Q2,6941,6.1%,0.7%,HDB,2026/7/30
2005-Q3,7436,7.1%,-14.4%,HDB,2026/7/30
2005-Q4,8047,8.2%,-1.8%,HDB,2026/7/30
2006-Q1,7375,-8.4%,12.7%,HDB,2026/7/30
2006-Q2,7446,1.0%,7.3%,HDB,2026/7/30
2006-Q3,7177,-3.6%,-3.5%,HDB,2026/7/30
2006-Q4,6685,-6.9%,-16.9%,HDB,2026/7/30
2007-Q1,7045,5.4%,-4.5%,HDB,2026/7/30
2007-Q2,7270,3.2%,-2.4%,HDB,2026/7/30
2007-Q3,6427,-11.6%,-10.5%,HDB,2026/7/30
2007-Q4,6586,2.5%,-1.5%,HDB,2026/7/30
2008-Q1,6454,-2.0%,-8.4%,HDB,2026/7/30
2008-Q2,7248,12.3%,-0.3%,HDB,2026/7/30
2008-Q3,6694,-7.6%,4.2%,HDB,2026/7/30
2008-Q4,6458,-3.5%,-1.9%,HDB,2026/7/30
2009-Q1,6789,5.1%,5.2%,HDB,2026/7/30
2009-Q2,7147,5.3%,-1.4%,HDB,2026/7/30
2009-Q3,6868,-3.9%,2.6%,HDB,2026/7/30
2009-Q4,6303,-8.2%,-2.4%,HDB,2026/7/30
2010-Q1,6961,10.4%,2.5%,HDB,2026/7/30
2010-Q2,8138,16.9%,13.9%,HDB,2026/7/30
2010-Q3,9080,11.6%,32.2%,HDB,2026/7/30
2010-Q4,8507,-6.3%,35.0%,HDB,2026/7/30
2011-Q1,9365,10.1%,34.5%,HDB,2026/7/30
2011-Q2,9979,6.6%,22.6%,HDB,2026/7/30
2011-Q3,7003,-29.8%,-22.9%,HDB,2026/7/30
2011-Q4,5869,-16.2%,-31.0%,HDB,2026/7/30
2012-Q1,2360,-59.8%,-74.8%,HDB,2026/7/30
2012-Q2,6471,174.2%,-35.2%,HDB,2026/7/30
2012-Q3,6014,-7.1%,-14.1%,HDB,2026/7/30
2012-Q4,5165,-14.1%,-12.0%,HDB,2026/7/30
