Date,Policy Stance,Action,Remarks,Source
2001/02/22,Tightening,Modest Appreciation,Allowed modest appreciation of S$NEER,MAS
2001/07/12,Neutral,Zero Appreciation,Shifted to zero appreciation path due to electronics downturn,MAS
2001/10/10,Easing,Widen Band,Widened policy band after September 11 attacks,MAS
2002/01/02,Easing,Re-centre Down,Re-centred policy band downward,MAS
2003/07/10,Neutral,Re-centre Current,Re-centred band at prevailing S$NEER; zero appreciation maintained,MAS
2004/04/12,Tightening,Gradual Appreciation,Returned to gradual appreciation path,MAS
2007/10/12,Tightening,Increase Slope,Slight increase in appreciation slope,MAS
2008/04/10,Tightening,Re-centre Up,Upward re-centering of policy band,MAS
2008/10/10,Easing,Zero Appreciation,Shifted to zero appreciation during global financial crisis,MAS
2009/04/14,Easing,Re-centre Down,Re-centred band downward while maintaining zero appreciation,MAS
2010/04/14,Tightening,Increase Slope,Returned to modest and gradual appreciation,MAS
2011/04/14,Tightening,Increase Slope,Further increase in appreciation slope,MAS
2012/04/13,Tightening,Increase Slope,Slight increase in slope to contain inflation,MAS
2015/01/28,Easing,Reduce Slope,Reduced appreciation slope amid weaker inflation outlook,MAS
2016/04/14,Neutral,No Change,Maintained existing policy stance,MAS
2020/03/30,Easing,Zero Appreciation & Re-centre Down,Emergency response to COVID-19,MAS
2021/10/14,Tightening,Increase Slope,First tightening after COVID-19,MAS
2022/01/25,Tightening,Increase Slope,Further tightening,MAS
2022/04/14,Tightening,Increase Slope & Re-centre Up,Third consecutive tightening,MAS
2022/07/14,Tightening,Re-centre Up,Off-cycle tightening,MAS
2022/10/14,Tightening,Increase Slope,Continued inflation response,MAS
2025/01/24,Easing,Reduce Slope,First easing since 2020 due to moderating inflation,MAS
