Quarter,TransactionVolume,QoQ,YoY,Source,Updated
2001-Q1,974,,,URA,2026/7/30
2001-Q2,1183,21.5%,,URA,2026/7/30
2001-Q3,1407,18.9%,,URA,2026/7/30
2001-Q4,985,-30.0%,,URA,2026/7/30
2002-Q1,1686,71.2%,73.1%,URA,2026/7/30
2002-Q2,1424,-15.5%,20.4%,URA,2026/7/30
2002-Q3,1505,5.7%,7.0%,URA,2026/7/30
2002-Q4,1455,-3.3%,47.7%,URA,2026/7/30
2003-Q1,931,-36.0%,-44.8%,URA,2026/7/30
2003-Q2,1489,59.9%,4.6%,URA,2026/7/30
2003-Q3,1607,7.9%,6.8%,URA,2026/7/30
2003-Q4,1270,-21.0%,-12.7%,URA,2026/7/30
2004-Q1,1322,4.1%,42.0%,URA,2026/7/30
2004-Q2,1488,12.6%,-0.1%,URA,2026/7/30
2004-Q3,1594,7.1%,-0.8%,URA,2026/7/30
2004-Q4,1541,-3.3%,21.3%,URA,2026/7/30
2005-Q1,1572,2.0%,18.9%,URA,2026/7/30
2005-Q2,1738,10.6%,16.8%,URA,2026/7/30
2005-Q3,2570,47.9%,61.2%,URA,2026/7/30
2005-Q4,2453,-4.6%,59.2%,URA,2026/7/30
2006-Q1,2467,0.6%,56.9%,URA,2026/7/30
2006-Q2,3088,25.2%,77.7%,URA,2026/7/30
2006-Q3,3078,-0.3%,19.8%,URA,2026/7/30
2006-Q4,4064,32.0%,65.7%,URA,2026/7/30
2007-Q1,4653,14.5%,88.6%,URA,2026/7/30
2007-Q2,7776,67.1%,151.8%,URA,2026/7/30
2007-Q3,5255,-32.4%,70.7%,URA,2026/7/30
2007-Q4,3296,-37.3%,-18.9%,URA,2026/7/30
2008-Q1,2210,-32.9%,-52.5%,URA,2026/7/30
2008-Q2,2269,2.7%,-70.8%,URA,2026/7/30
2008-Q3,2116,-6.7%,-59.7%,URA,2026/7/30
2008-Q4,953,-55.0%,-71.1%,URA,2026/7/30
2009-Q1,1143,19.9%,-48.3%,URA,2026/7/30
2009-Q2,4165,264.4%,83.6%,URA,2026/7/30
2009-Q3,5809,39.5%,174.5%,URA,2026/7/30
2009-Q4,4002,-31.1%,319.9%,URA,2026/7/30
2010-Q1,4960,23.9%,333.9%,URA,2026/7/30
2010-Q2,5253,5.9%,26.1%,URA,2026/7/30
2010-Q3,4719,-10.2%,-18.8%,URA,2026/7/30
2010-Q4,4237,-10.2%,5.9%,URA,2026/7/30
2011-Q1,3507,-17.2%,-29.3%,URA,2026/7/30
2011-Q2,4531,29.2%,-13.7%,URA,2026/7/30
2011-Q3,3307,-27.0%,-29.9%,URA,2026/7/30
2011-Q4,2701,-18.3%,-36.3%,URA,2026/7/30
2012-Q1,2210,-18.2%,-37.0%,URA,2026/7/30
2012-Q2,3834,73.5%,-15.4%,URA,2026/7/30
2012-Q3,3711,-3.2%,12.2%,URA,2026/7/30
2012-Q4,3459,-6.8%,28.1%,URA,2026/7/30
2013-Q1,2004,-42.1%,-9.3%,URA,2026/7/30
2013-Q2,2073,3.4%,-45.9%,URA,2026/7/30
2013-Q3,1388,-33.0%,-62.6%,URA,2026/7/30
