Quarter,PriceIndex,QoQ,YoY,Source,Updated
2001-Q1,91.1,,,URA,2026/7/30
2001-Q2,90.3,-0.9%,,URA,2026/7/30
2001-Q3,87.6,-3.0%,,URA,2026/7/30
2001-Q4,83.8,-4.3%,,URA,2026/7/30
2002-Q1,82.8,-1.2%,-9.1%,URA,2026/7/30
2002-Q2,82.2,-0.7%,-9.0%,URA,2026/7/30
2002-Q3,82.6,0.5%,-5.7%,URA,2026/7/30
2002-Q4,82.3,-0.4%,-1.8%,URA,2026/7/30
2003-Q1,81.6,-0.9%,-1.4%,URA,2026/7/30
2003-Q2,81.1,-0.6%,-1.3%,URA,2026/7/30
2003-Q3,80.7,-0.5%,-2.3%,URA,2026/7/30
2003-Q4,80.6,-0.1%,-2.1%,URA,2026/7/30
2004-Q1,80.3,-0.4%,-1.6%,URA,2026/7/30
2004-Q2,80.4,0.1%,-0.9%,URA,2026/7/30
2004-Q3,80.7,0.4%,0.0%,URA,2026/7/30
2004-Q4,81.3,0.7%,0.9%,URA,2026/7/30
2005-Q1,81.9,0.7%,2.0%,URA,2026/7/30
2005-Q2,82.3,0.5%,2.4%,URA,2026/7/30
2005-Q3,83.3,1.2%,3.2%,URA,2026/7/30
2005-Q4,84.5,1.4%,3.9%,URA,2026/7/30
2006-Q1,85.8,1.5%,4.8%,URA,2026/7/30
2006-Q2,87.3,1.7%,6.1%,URA,2026/7/30
2006-Q3,89.6,2.6%,7.6%,URA,2026/7/30
2006-Q4,93.1,3.9%,10.2%,URA,2026/7/30
2007-Q1,97.6,4.8%,13.8%,URA,2026/7/30
2007-Q2,105.6,8.2%,21.0%,URA,2026/7/30
2007-Q3,114.4,8.3%,27.7%,URA,2026/7/30
2007-Q4,122.1,6.7%,31.1%,URA,2026/7/30
2008-Q1,126.7,3.8%,29.8%,URA,2026/7/30
2008-Q2,126.9,0.2%,20.2%,URA,2026/7/30
2008-Q3,123.9,-2.4%,8.3%,URA,2026/7/30
2008-Q4,116.4,-6.1%,-4.7%,URA,2026/7/30
2009-Q1,100,-14.1%,-21.1%,URA,2026/7/30
2009-Q2,95.3,-4.7%,-24.9%,URA,2026/7/30
2009-Q3,110.3,15.7%,-11.0%,URA,2026/7/30
2009-Q4,118.4,7.3%,1.7%,URA,2026/7/30
2010-Q1,125.1,5.7%,25.1%,URA,2026/7/30
2010-Q2,131.7,5.3%,38.2%,URA,2026/7/30
2010-Q3,135.5,2.9%,22.8%,URA,2026/7/30
2010-Q4,139.2,2.7%,17.6%,URA,2026/7/30
2011-Q1,142.3,2.2%,13.7%,URA,2026/7/30
2011-Q2,145.1,2.0%,10.2%,URA,2026/7/30
2011-Q3,147,1.3%,8.5%,URA,2026/7/30
2011-Q4,147.4,0.3%,5.9%,URA,2026/7/30
2012-Q1,147.2,-0.1%,3.4%,URA,2026/7/30
2012-Q2,147.9,0.5%,1.9%,URA,2026/7/30
2012-Q3,148.8,0.6%,1.2%,URA,2026/7/30
2012-Q4,151.5,1.8%,2.8%,URA,2026/7/30
2013-Q1,152.4,0.6%,3.5%,URA,2026/7/30
2013-Q2,154,1.0%,4.1%,URA,2026/7/30
2013-Q3,154.6,0.4%,3.9%,URA,2026/7/30
2013-Q4,153.2,-0.9%,1.1%,URA,2026/7/30
2014-Q1,151.3,-1.2%,-0.7%,URA,2026/7/30
2014-Q2,149.7,-1.1%,-2.8%,URA,2026/7/30
2014-Q3,148.6,-0.7%,-3.9%,URA,2026/7/30
2014-Q4,147,-1.1%,-4.0%,URA,2026/7/30
2015-Q1,145.5,-1.0%,-3.8%,URA,2026/7/30
2015-Q2,144.2,-0.9%,-3.7%,URA,2026/7/30
